id,date_short,party,name,sents,party_2,results_1,results_number,results_2
10,36515,Conservative,Mr. Stephen Dorrell,"maude), the shadow chancellor, has set up a commission  ” i anticipate ” to move the conservative party's position in the direction of an independent status for the bank of england. i am glad that that is no longer regarded as the focus for a short-term debate in the house of commons.  under the past two and a half years of the labour government, we have seen that there was a real alternative ” one of steady and sustainable economic growth, low inflation, high employment rates and proper investment in our public services.",Conservative,Pro-independence,1,Pro-independence
11,37812,Conservative,Michael Portillo,it is one thing that has provided us with a little more stability. we may be creating institutions with completely separate monetary and fiscal policies at the very time when more fiscal and monetary co-ordination is needed. we may have created an independent bank of england while looking at the rear-view mirror when we should have been looking at the windscreen.,Conservative,Anti-independence,0,Anti-independence
12,44887,Conservative Party,James Cartlidge,"the answer is that this year, this country will have to find an additional £150 billion to pay for the higher cost of energy”that is the equivalent of an entire nhs. yes, we are taking difficult decisions, but that is the best way to ensure that we get inflation down, in partnership with the independent bank of england, and build the platform of stability that businesses need to grow and invest. on the point about brexit, if it was causing the problems, why do the netherlands and germany have higher inflation?",Conservative,Unrelated,2,Unrelated
13,44811,Conservative Party,Mel Stride,"there was a period, going back some weeks and months, when perhaps because, understandably, many members and those who are now in government may have looked at the bank of england and said that, because inflation is so far adrift from its target of 2%, it is therefore entirely unfit for purpose. i do not believe that the bank has been perfect, but i think it has faced extraordinary situations that have made its ability to keep inflation down to about 2% really a task that no central banker could have achieved. it will be vital that the bank of england maintains its independence, that politicians are kept out of monetary policy and that chancellors do not determine interest rates if we are going to have a credible approach to monetary policy and all the benefits that brings.",Conservative,Pro-independence,1,Pro-independence
14,36963,Conservative,Mr. Portillo,"we shall have our own currency, and interest rates will be set in britain. we shall enhance the independence of the bank of england and appoint an independent committee of economic advisers. we shall ensure that there are proper national accounts to end the chancellor's fiddled figures and we shall increase government spending within the limits of what the nation can afford.",Conservative,Pro-independence,1,Pro-independence
15,33039,Conservative,Mr. Nigel Forman,"friend the financial secretary to the treasury from the labour party document, but from the speech of the hon. member for islington, south and finsbury that the opposition are not enthusiastic about the idea of statutory accountability or independence of any kind for our central bank.  if the crunch came, and if we had a labour government formed by the modern new-look labour party, a labour chancellor and prime minister would fall back upon the old protectionist socialist impulses of the labour party.",Conservative,Pro-independence,1,Unrelated
16,38895,Conservative,John Penrose,"we could build that into the role of the trustees for the npss. our task now is to address that issue and to seek to take the political instability out of the system. just as bank of england independence has made it easier for companies to invest, so a consensus on the future of pension policy will make it easier for workers to save.",Conservative,Pro-independence,1,Pro-independence
17,39982,Conservative,Tobias Ellwood,"that was the first schoolboy error made by this government, and it led to the level of borrowing getting out of control; banks were lending people sums that they could not afford, in ways that they did not understand. i have it in command from her majesty the queen to acquaint the house that her majesty, having been informed of the purport of the bill, has consented to place her prerogative and interest, so far as they are affected by the bill, at the disposal of parliament for the purposes of the bill.i beg to move, that the bill be now read a second time.in 1997, the government embarked on an unprecedented programme of constitutional reform. power was devolved away from westminster to scotland, wales and northern ireland, fundamental rights were enshrined in the human rights act, freedom of information legislation was introduced, national statistics were placed on an entirely independent basis, the bank of england was made independent, and the first step was taken towards a reformed house of lords.surveying all this in an editorial yesterday,  the guardian newspaper asked us to""look at the last 12 years.",Conservative,Unrelated,2,Unrelated
18,33591,Conservative,Geoffrey Howe,"the form of emu that has emerged from maastricht bears the important imprint of united kingdom priorities in a number of key respects. making common cause, as we have, with bonn and frankfurt and thus forging a powerful alliance, we have ensured that full emu will be open only to countries that meet strict convergence criteria, that monetary policy will be transferred only in stage 3, that price stability will be the overriding objective of the system, that the european central bank will be politically independent of all outside control, that there will be no ec-wide macro policy administered by what the french called a european economic government.  on all those points, emu is clearly a project of anglo-german design.",Conservative,Unrelated,2,Unrelated
19,43648,Conservative,James Cartlidge,"friend the chancellor confirm that he is absolutely committed to maintaining the independence of the bank of england? yes, it is a vital cornerstone of our institutional structure that the bank of england remains independent, and those who have suggested that they would seek to politicise appointments to the bank of england would be doing a great disservice to this country and our economy. that means more border force staff, better transport infrastructure at our ports and more support for business readiness.",Conservative,Pro-independence,1,Pro-independence
20,35745,Conservative,Mr. Andrew Tyrie," the main purpose of central bank independence is not to call upon superior minds to do the job ” i do not think that they are better ones in threadneedle street ” but to close the credibility gap and deal with the belief that politicians might be meddling in monetary policy with political objectives in mind.  the crucial question is whether the bill's proposals close the credibility gap. clearly, the bill will enable people who put their faith in british banks, and who therefore deposit their money in british banks, to know that there is an independent regulatory and supervisory authority.",Conservative,Pro-independence,1,Pro-independence
21,35741,Conservative,Mr. John Wilkinson,"the government are taking a very relaxed, hands-off approach. the implication is that it is not their fault, because the bank of england is independent, but five interest rate rises in five months is a bit much. it is symptomatic of something fundamentally wrong.",Conservative,Unrelated,2,Anti-independence
22,35906,Conservative,Mr. Nick St. Aubyn,"does not the hon. gentleman recognise that, at the time that the bank of england was given its putative independence, there was a change of government? we moved from minority government to a government with a large majority.",Conservative,Unrelated,2,Unrelated
23,35989,Conservative,Mr. Page," i have no objection to monetary policy being handed over to the bank of england, but fiscal policy should not be operated completely independently and with a set of blinkers. the aeroplane analogy of the hon. gentleman raises some interesting issues.",Conservative,Anti-independence,0,Anti-independence
24,34362,Conservative,Mr. Dorrell,"the position currently is clear. member for brent, east (mr. livingstone) about anything to do with economic policy, but he was right to say that one of the problems for russia is the independence of its central bank.",Conservative,Unrelated,2,Unrelated
25,36109,Conservative,Mr. Bruce," what about this unsustainable growth of 3 per cent. the question is, given the difficulties for jobs and industry over the next year, what is the right policy? we say that new fiscal and monetary rules and bank of england independence are right.",Conservative,Pro-independence,1,Pro-independence
26,44887,Conservative Party,Laura Farris,"that was a thing that ran from...september through to the middle of october. with respect, if the opposition are going to keep parroting the line that this was a crisis made in downing street, it is incumbent on them to say why the governor of the bank of england is incorrect. if  we get extra inflation created by monetary expansion that is too fast, it will affect the poorest in our society and the balance of our public finances, and it will cost taxpayers money. i have no problem with the bank of england having operational independence, but what i want to know is: when it gets it wrong, who is it accountable to?",Conservative,Anti-independence,0,Anti-independence
27,42550,Conservative,George Osborne,"obviously the bank of england is independent. the mpc set out the challenging trade- off it might face between a fall in output and a rise in inflation. we must now respond to developments in the real economy, which will require a supreme national effort.first, we must look to support demand and ensure that credit flows freely in our economy.",Conservative,Unrelated,2,Unrelated
28,32812,Conservative,Mr. Anthony Coombs,"if an independent bank of england  ” as mentioned by my right hon. their concern for the health of the economy is bogus ” and so is their motion, which i urge the house to reject. to be fair to herself, will the prime minister tell us why she rejected the former chancellor's proposal for an independent bank of england?",Conservative,Unrelated,2,Unrelated
29,44595,Conservative Party,Matthew Hancock,"will he confirm that, on monetary policy”not just interest-rate setting but the withdrawal of quantitative easing”bank independence will be respected? that is well detached from its target of 2%, so the question arises: is the bank of england culpable for having missed that target to that extent? i want to  speak”partially, at least”in defence of the bank of england, which is one of the most important independent institutions in our country, and to make the following observations.",Conservative,Pro-independence,1,Pro-independence
30,41096,Conservative,Stephen Hammond,i hope the whips will find my speech today to be equally dull; perhaps there is a case for time limits in debates such as this.it might bring a little colour to the debate as well as a sense of purpose if we look at one or two of the governors of the bank of england over the last century who have been extremely powerful figures on the economy and powerful figures in respect of their independence from government. we could reflect on how theirappointments were made. i just wonder what the treasury select committee might have said to him when he was appointed.,Conservative,Pro-independence,1,Pro-independence
31,38764,Conservative,Philip Dunne,"i do not criticise this government particularly because all governments have a tendency to change the rules as they go along, so whatever regulatory oversight regime is in place, there should be an element of independence. just as, to their credit, the government introduced independence for the bank of england, they should consider a regulatory oversight regime for the national pension savings scheme that is independent of government. i accept what my hon.",Conservative,Pro-independence,1,Pro-independence
32,41096,Conservative,Matthew Hancock,"i did so yesterday. however, the broad and settled view of the house is that we should retain the current situation.because the central bank is the monopoly provider of money and the lender of last resort, it must share a common strategy with the government even though it is vital that its operational decisions on interest rates and financial stability are independent. the current appointment process fulfils well the twin objectives of operational independence and broad agreement on strategy.",Conservative,Pro-independence,1,Pro-independence
33,42401,Conservative,Harriett Baldwin,"member for nottingham east (chris leslie), who said:œprinting money and ending bank of england independence would push up inflation, lending rates, squeeze out money for schools and hospitals and mean spending more on debt servicing. higher inflation and a higher cost of living would hit those on the lowest incomes, the poorest people who couldn™t afford those goods and services.that is the reality of the opposition™s economic policies with regard to the bank of england. i do worry about the hon.",Conservative,Pro-independence,1,Pro-independence
34,38173,Conservative,Oliver Letwin,"i believe in the structure that the chancellor himself established; i believe in the independence of the bank of england; and i believe it is right that decisions on monetary policy should be taken by a group of people removed from politics.my argument is very clear: the chancellor has created circumstances with his pre-election spree that are leading the bank of england to a certain set of responses, which it is trying to engage in very delicately, subtly and carefully precisely to avoid circumstances of the kind to which the hon. gentleman refers. he accurately diagnoses a real problem.",Conservative,Pro-independence,1,Pro-independence
35,35745,Conservative,Mr. Lilley,"we have always believed that the bank of england, through interest rate and funding policy, plays a key role in controlling inflation.  as long ago as 1977, in the seminal work ” which i know the chancellor has committed to memory ” ""the right approach to the economy"", the party said that we favoured a more independent role for the bank of england. a range of views were held then ” and have been held since ” about how much and what sort of independence the bank should be given.",Conservative,Pro-independence,1,Pro-independence
36,35863,Conservative,Mr. Boswell," there is an essential ambiguity in the government's attitude. the bank of england bill implements one of their treasured policies, about which i have grave reservations: to introduce a monetary policy committee, independent of the chancellor, to run our monetary policy. in that bill, they provided for a way out in cases of external economic shocks.",Conservative,Pro-independence,1,Pro-independence
37,33186,Conservative,Mr. Lilley,"members: ""come on.""] would it be correct to say that the labour party is in favour of an independent central bank? i am more and more amazed.",Conservative,Unrelated,2,Unrelated
38,35592,Conservative,Mr. Michael Jack,if the chancellor of the day wants to manipulate the bank of england ” for all its independence ” he can choose a lax inflation target and so give us low interest rates.  we have heard nothing from the chancellor about what he thinks will be the potential for inflation in the british economy. friend's sterling work on the treasury select committee.,Conservative,Unrelated,2,Unrelated
39,40325,Conservative,George Young,"it was a discourtesy to the house and to her majesty, and steps will be taken to minimise the risk of such leaks occurring again.on the statement about cuts, i was surprised to hear the right hon. lady's comments, because she was a member of the house in 1997 when the then chancellor announced the independence of the bank of england four days after the election, before the house was sitting, and that was not even in the party's manifesto. he said that we needed to""tackle excessive fiscal budget deficits""and added:""i am very pleased that there is a very clear and binding commitment to accelerate the reduction in the deficit over the lifetime of the parliament and to introduce additional measures this fiscal year to demonstrate the importance of getting to grips with that before running the risk of an adverse market reaction.""how wise were those words and how welcome is such robustness from the governor of the bank of england.",Conservative,Pro-independence,1,Pro-independence
40,34362,Conservative,Peter Tapsell,"in the same lecture to the bank of italy's centenary meeting, mr.  one does not have to look into a crystal ball when one can read the book to see what happened when the bank of england made all those monetary decisions. people sometimes forget that we had an independent central bank until quite recently.",Conservative,Unrelated,2,Unrelated
41,31744,Conservative,Mr. Stewart,"if, in any case, the bank of england decides not to follow the advice of the independent members, the ex-officio members of the board will be required to notify the chancellor of the exchequer.  the conduct of supervision will be subject to continual review by the board, which the government believe will add greatly to the experience available to the bank of england in taking what are inevitably sometimes extremely difficult decisions. the eventual decision seems to be that there should be no separation along the lines that have been developed in many other countries.",Conservative,Unrelated,2,Unrelated
42,36094,Conservative,Mr. Loughton,"will he commit himself and the labour party to retaining the independence of the bank of england after the next general election, or will that independence have been abdicated to the central european bank by then? gentleman has a funny way of answering a question about whether the conservative party would reverse the bank of england's independence. labour members made the bank independent, and independence is working well.",Conservative,Pro-independence,1,Pro-independence
43,39540,Conservative,Mark Hoban,"he has set an inflation target for the bank, but he was looking for it to put that target to one side. this is not something that we can legislate for; at the end of the day, it has to be for companies themselves.i dealt earlier with the point about passing on the benefits of interest rate reductions to home owners. this action, which comes on top of other action that the bank has taken independently or with other central banks, of putting money into the system, has helped.",Conservative,Pro-independence,1,Pro-independence
44,33730,Conservative,Mr. Spicer,"therefore, there is a double whammy, to use the phrase which loomed large in the general election.  we all know that the bank of england, as with all central banks, has to be denationalised before the decision to set up and join in a european central bank becomes effective. denationalisation would clearly mean greater independence for the bank of england.",Conservative,Unrelated,2,Unrelated
45,34129,Conservative,Peter Hordern,"it is by no means possible, either in germany or the united states, but i maintain that it is a better position than the one we have here. monetary policy is not as credible as it might be if the central bank were independent. an independent central bank's position would be very much easier if there were not such a large deficit.",Conservative,Pro-independence,1,Pro-independence
46,35745,Conservative,Mr. Gibb,"they cite five studies of central banks, four of which show that, for any given reduction in inflationary pressure, the deflationary cost is higher in those countries with independent central banks than in those without.  another academic study in 1994 by guy debelle and stanley fischer showed that since 1962 those countries with independent central banks have suffered deeper recessions, on average, than those without. the countries with independent central banks did not enjoy higher growth levels, despite the high social costs of the recessions, so there was no compensatory rise in growth in the long term.",Conservative,Anti-independence,0,Anti-independence
47,33169,Conservative,Mr. Lawson,stage 2 would involve the national central banks becoming independent ” independent national central banks cooperating closely together. that would be the essence of stage 2. the house knows that i mentioned in my resignation speech how i had made this proposal at an earlier stage so far as the bank of england was concerned.,Conservative,Unrelated,2,Unrelated
48,42171,Conservative,Kenneth Clarke,"member for wolverhampton south east (mr mcfadden) proposes. he suggests that those pre-eminently independent bodies, the bank of england and the office for budget responsibility, should be, as it were, enjoined by this bill to produce those reports, which is quite attractive. i have the highest regard for the bank of england and the office for budget responsibility.",Conservative,Unrelated,2,Unrelated
49,44886,Conservative Party,John Redwood,"indeed, it is undesirable, because money policy has already been tightened a lot and that will be a further tightening. on the item where the bank of england is properly  independent and where ministers would obviously not comment, i must add that i think it is dreadful that the bank kept interest rates as low as it did last year and has not raised them sufficiently even this year at the short end. it keeps telling us it will get round to raising the rates to the level needed to kill the inflation, so i say, œget on with it. in the figures given today, it is suggested that the short rates will peak at 4.77%”a very precise and unlikely number.",Conservative,Unrelated,2,Unrelated
50,38432,Labour,Iain Wright,"the conservative government of the 1980s decimated economic activity in hartlepool and did that again in the early 1990s, so i would rather not have lessons in economic management and competence from the conservative party. the fact remains that only a labour administration were bold enough to give the bank of england independence, which was an important building block in helping to produce a stable and prudent economy.a second key factor that is often grossly overlooked is the decision taken in 1997 to repay a substantial amount of the national debt. the figures provided by the chancellor in his ""financial statement and budget report"" last week were impressive.",Labour,Pro-independence,1,Pro-independence
51,35745,Labour,Mr. Clarke,"member for hackney, north and stoke newington (ms abbott) said, we have had experience in the united kingdom of independent banks ” i should prefer the formulation, to which they must now cling, that was occasionally given by both the chancellor and the prime minister when they were in opposition: occasionally hinting that they might contemplate giving independence to the bank of england after it had established a good track record. as hon. it does not modernise procedures.",Labour,Anti-independence,0,Anti-independence
52,36368,Labour,Mr. Milburn,"in debates on the past two finance bills alone, they have proposed to take billions of pounds from the self-same services that they now say that they support.  the truth is that conservative members are as much at sixes and sevens on public spending policy as they are on policy for bank of england independence. try as hard as they might, they simply cannot escape their past.",Labour,Anti-independence,0,Anti-independence
53,38371,Labour,Stephen Timms,"we gathered from the front-bench spokesman that the conservative party will not publish that detail, and, indeed, callers to conservative central office on monday were told that it would not do so because that would give too much ammunition to the party's critics, which is probably absolutely correct.independence for the bank of england, the symmetric inflation target, the golden rule, the sustainable investment rule ”  i might listen to the hon. gentleman if he had ever got anything right.",Labour,Unrelated,2,Unrelated
54,36488,Labour,Ms Kelly,"we are taking strides towards a full-employment economy, making work pay and investing in our people and their ideas. however, they did not hand over control to the european commission. they handed it over to an independent central bank, because their experience, which on the whole had been successful, showed that independent central banks work.",Labour,Pro-independence,1,Pro-independence
55,41022,Labour,Kelvin Hopkins,"all aspects of macro-economic management ought to be matters for ministers accountable to parliament. that is causing problems in many ways. however, if there were a sensible, managed deconstruction of the euro, with the re-creation of national currencies in many, or possibly all, of those countries, thereby allowing them to reflate their economies, they would benefit, as would we, and the whole european union would then start to work properly ” as a group of democratic, independent nations co-operating voluntarily for mutual benefit, rather than something driven by people in central banks or people in brussels in the commission.",Labour,Unrelated,2,Unrelated
56,39154,Labour,John Healey,"each reform, like the reform in the bill, set out in legislation independent, credible institutions with a clear remit from government or parliament, with decisions taken at arm's length and full reporting with maximum transparency.the quality and coherence of statistics across the uk will be improved, and we welcome the full participation of all the devolved administrations in the new approach. it has to be done finger by finger, but it is happening.andrew dilnot said that this is the most important bill in this parliament and he is probably right. it is on a par with the independence of the bank of england.",Labour,Unrelated,2,Unrelated
57,36104,Labour,Mr. Brown,"friend will make his own points. we have made the bank of england independent, and we will support it in all the difficult decisions that it makes. the bank of england's notice states that the international environment and the prospects for domestic activity have led the committee to make its decision.",Labour,Pro-independence,1,Pro-independence
58,35817,Labour,Mr. Darling,"the bill is a cornerstone of the government's economic strategy.  this country depends on its international trade and on markets having confidence in the government's ability to deliver economic stability and low inflation. the independence of the central bank, the code of fiscal stability and the pre-budget report are all planks in the same strategy to ensure that there is openness.",Labour,Pro-independence,1,Pro-independence
59,33983,Labour,Mr. Davies,"that is right; it is article 108, i think, which will be enacted under the bill. members: ""since when?""] it was decided by the non-modernised labour party at last year's conference ” i do not know what the modernised one will do. in a short composite resolution, it decided that the bank of england should be independent or autonomous.",Labour,Pro-independence,1,Pro-independence
60,39730,Labour,Diane Abbott,"that is the danger of an independent bank of england, about which i spoke 10 years ago. an independent bank of england that chases inflation above all is marvellous when the going is good. when the going is bad, however, we will see why some of us would not vote for such independence.",Labour,Anti-independence,0,Anti-independence
61,38112,Labour,Yvette Cooper,"they are, after all, the team whose leader argued strongly against giving the bank of england independence and said that it should not have increased interest rates in 1997“98. given that those interest rates were so important in preventing the boom-bust cycle and in preventing a crash in the housing market like the one that we saw in the early '90s, i think economic history has demonstrated that we are lucky to be dependent on the judgment of the monetary policy committee in this area, rather than on that of the conservative front-bench team.the conservatives are kidding themselves if they think they can ignore the problems of house price inflation and pretend that there is no case for more houses to be built. the average interest rate under the conservative governments from 1979 to 1997 was 10.3 per cent., and interest rates have been less than half that under a labour government.",Labour,Pro-independence,1,Pro-independence
62,37389,Labour,Robin Cook,"last week, the deputy prime minister set out our plans to allow the creation of regional assemblies in those regions of england that vote for them. gentleman will find that, when he talks to businesses in his constituency, what they want most of all is economic stability. the fact that, as a result of making the bank of england independent and of the new fiscal and monetary regime that we have introduced, we have had greater stability over the last five years than we had in the previous 18 years, shows the value of policies for stability against the old boom and bust.",Labour,Pro-independence,1,Pro-independence
63,35564,Labour,Mr. Radice," i should like to mention three other matters, the first of which is the bank of england. i strongly support a bill to give the bank of england operational independence. the action is a bold move ” which was certainly foreshadowed for anyone who read our manifesto ” and will do much to reinforce economic stability.",Labour,Pro-independence,1,Pro-independence
64,39189,Labour,Geoffrey Robinson,"i do not want to rehearse again the specious and fallacious arguments made by the opposition, which were comprehensively demolished by the chancellor in his major contribution. it is unbelievable that we are having this debate today, 10 years on, and we can only look forward to the rest of the series of retro-debates. perhaps next week we could have one on the calamitous independence of the bank of england and the consequent interest rate crisis, on the disastrous introduction of a national minimum wage and the consequent inflation shock, or on the disgraceful cuts in corporation taxes which accompanied the removal of the pension fund dividend subsidy, thereby causing a sharp, immediately discernible and outrageous rise in investment.",Labour,Unrelated,2,Unrelated
65,36488,Labour,Mr. Brown,"on the main issues of health, education and pensions, we have done more than any liberal ever dreamed of doing.  we have announced the new interdepartmental reviews of the spending round, which is part of our policy for fiscal and monetary stability, the foundation of which is the independence of the bank of england. that is the first divide between ourselves and our opponents.",Labour,Pro-independence,1,Pro-independence
66,35920,Labour,The Prime Minister,"i therefore find odd some of the european parliament's criticism and questioning of why a political deal is being done. gentleman's political perspective argued that that was the right thing, not the wrong thing, to do.  it is important that we say to europe's central bankers: ""you have your place in this system ” once nominated, you will serve, and serve independently ” but you do not take the decisions on nomination.",Labour,Unrelated,2,Unrelated
67,33262,Labour,Mr. Smith,"i think that a majority of the house, with some exceptions, is agreed that a completely independent european central bank would not be acceptable. in the opinion of the majority, there has to be some form of political accountability. in a previous debate i asked the chancellor, who was then chief secretary, to explain the arrangements for its accountability, and he appeared to have some difficulty in doing so.",Labour,Unrelated,2,Unrelated
68,36368,Labour,Mr. John Cryer,"their record is, if anything, worse than that of developing country central banks under government control. he is one of the few hon. members on the opposition benches who voluntarily raised the issue of bank of england independence, and the wonderful independent commission that the shadow chancellor has set up ” under his own stewardship.",Labour,Pro-independence,1,Pro-independence
69,35745,Labour,Mr. Davies,"alex brummer wrote:
 the danger of giving the bank of england operational independence always was that it would show an inflationary bias"".  i should not talk about rugby after a saturday when llanelli was trounced by the all blacks, but accusing a central bank of showing inflationary bias is like accusing the all blacks of a try-scoring bias.  if the labour party, now the government, were minded to contemplate marching towards the past by granting a greater degree of independence than the bank has enjoyed in recent years ” as the hon.",Labour,Anti-independence,0,Anti-independence
70,36194,Labour,The Prime Minister,"what would be most disastrous, however, is if we were to pursue the policies that he wants pursued, including taking away bank of england independence, scrapping the new deal for young people, getting rid of the working families tax credit and doubling the national debt. the labour party will be the party of economic stability, not the boom and bust of the tories. will his reaction be the same as that to the working families tax credit, which the conservatives have pledged to reverse, resulting in a tax increase for some of the poorest people of £17 a week?",Labour,Pro-independence,1,Pro-independence
71,40716,Labour,Alison McGovern,"how do we ensure that we have government regulators who understand as much and more about the very complicated financial services sector that we have in a modern economy and who are able to have proper oversight? first, we are trying to protect our own country. of course, this was an independent decision of the bank of england, but when it made its decision it explicitly referenced what was happening in the eurozone as the principal reason for doing so.",Labour,Unrelated,2,Unrelated
72,39162,Labour,Kitty Ussher,"the effect, which we have seen recently, is to bring down inflationary expectations, and therefore interest rate expectations. however, one problem with a somewhat flat level of stability ” i am not suggesting that we have that now ” is that it is often a big disincentive to innovation. so we should not look upon stability itself as a tremendous goal, but it must be recognised that we have had great stability in the past decade, and most people in business would give the government credit for that.it has been remarked that one of the most important early developments was giving independence to the bank of england.",Labour,Pro-independence,1,Pro-independence
73,35592,Labour,Mr. Stephen Timms,"that is why the commission on public policy and british business proposed that the government should
 give independence to the bank of england to achieve the target through the control of interest rates"" ” 
 quite rightly making the point that the dangers of instability are particularly acute for a labour chancellor.  instability has crippled labour governments in the past, so that all their energy has been consumed in fighting one economic crisis after another. in my view, it will stop politicians such as the former chancellor cutting interest rates just before a party conference so that he could go on stage to brag, and then putting them back up according to political whim.",Labour,Pro-independence,1,Pro-independence
74,34052,Labour,Mr. Shore,"i have made it clear that i believe that the single currency idea is basically flawed. i understand that many hon. members are interested in the question whether a european central bank should be independent, more or less on the german model, or should be brought under ecofin.",Labour,Unrelated,2,Unrelated
75,34078,Labour,Mr. Shore,"we debated the powers, independence and non-accountability of the european central bank; the totally unacceptable 3 per cent. of gross domestic product capping of government borrowing requirement; and the content of stages 2 and 3 of economic and monetary union.  the matter is serious.",Labour,Unrelated,2,Unrelated
76,39107,Labour,Gordon Brown,"the opposite has happened. it is undoubtedly true that the very dramatic increases in public expenditure have increased the inflationary pressures in the economy as well. since the chancellor has twice today reminded the house that we had reservations about the independence of the bank of england, may i remind him that we had reservations about the proposals that he tabled in the bank of england bill because the bank would not be independent enough?",Labour,Pro-independence,1,Pro-independence
77,36515,Labour,Mr. Smith, i remind the house that the conservative party remains opposed to the government's monetary policy framework and bank of england independence. the conservatives threaten to take britain back to the bad old days of tory boom and bust. friend the member for horsham (mr.,Labour,Pro-independence,1,Unrelated
78,35564,Labour,Mr. Radice,"moreover, the action is supported by two former conservative chancellors of the exchequer, and is based on the report of the previous parliament's treasury select committee ” of which i was a member, although conservative members formed the majority.  i think that allowing the bank of england operational independence will improve control of inflation, because countries with independent central banks tend to do better on inflation. it will provide long-term protection and perspective to the government, and it will give them to time to develop and implement their policies.",Labour,Pro-independence,1,Pro-independence
79,36607,Labour (Co-op),Mr. Geraint Davies," during this parliament, the government have introduced measures to get more people back to work ” for example, the new deal, which the opposition voted against. we made the bank of england independent, to provide macro-economic stability and to promote investment and employment, but that, too, was opposed by the opposition; and we have introduced the working families tax credit to make work pay. every measure that we have introduced to provide the economic platform needed to fund good investment in health and education for the future has been opposed by the party of boom and bust, economic irresponsibility and social division.",Labour,Pro-independence,1,Pro-independence
