id	text	majortopic
132	Prices Lower Than The Japanese British Lead Claimed In Printed Circuits	0
133	Cost Of Joining The Common Market 1s. 0?D. A Head More On Food Forecast	0
134	Calling Firemen To Duty Tests To Be Made Of New Radio System	2
135	? 6,500 Stolen In Mail Van Raid	2
136	Research Into Day Dreams	0
137	Lot Of Trade From Moscow Fair Time Needed, Says Mr. Maudling	0
138	Research Student Stole Books	2
139	Showing In South Africa	0
140	New Welsh Tv Contractor Language Devotee As Chairman	0
141	Zeta May Be Moved From Harwell Unrestricted Site Suggested	0
142	Hope Of Soviet Royalties For British Books Publisher's Effort In Moscow	0
143	Alderman Refutes Allegations	2
144	Policemen Get George Medal Shot At During Car Chase	2
145	African History Congress Opens	0
146	625-Line Tv 'Would Help Exports	0
147	Smouha Land Price In Issue	0
148	829 More Motorists Gaoled Last Year Fall In Number Of Offences	2
149	Final Examination Of The Law Society	2
150	Councillor Found Guilty Of Assault	2
151	G.P.O. Engineers' Overtime Ban Begins Possible Effect On Tv Programmes	0
152	1,040 Firearms Are Handed In Several Crimea Period Muskets	2
153	Jodrell Bank Feat By Helicopter	0
154	Coventry Peace Plea To World Heads Of Linked Cities Invited	0
155	Rise In Juvenile Crime Rate Every Year Since 1955 Home Office Reports Progress In Caring For Deprived Children	2
156	Longer Flood Warnings Outcome Of Naval Research	0
157	Britain Calls In Gatt	0
158	Rising Cost Of Simple Life	1
159	Computer Code Like Pidgin English	0
160	Doctors Needed For Antarctic Bases End Of National Service Supply	0
161	Home Helps From 11 Countries Confer	0
162	Fantastic Tv Company Head On Fees Claim	0
163	G.M. For Men WHO Tackled Killer Vicar Gets M.B.E.	2
164	Bookkeeping Was Open Warning Lime Plot Case Allegation	2
165	Footprints Clue In Bank Raid Armed Men's Jump On To Counter	2
166	Personalities Main Feature In Eire Elections Today Language Still A Vexed Question	0
167	?29,500 Awarded To Legless Youth	2
168	Body Of Woman Found In Pond Discovery After Boys Picked Up Hand	2
169	Army Captain And Three Show Jumpers Cleared Cruelly Beaten	2
170	Prison For Men In Egg Plot Fraud	2
171	Council's Television Plan Held Up	0
172	Tv Actors Ready For Long Strike	0
173	Lorry Crew Tied Up By Bandits	2
174	New Film Group Financing Of Major Features	0
175	?53M. More From Rates	1
176	Mail Bag Machine For Prison	2
177	Move Against British Firm Export Privileges Withdrawn By U.S.	0
178	Man With Bayonet Foils Pipe Layers	2
179	Scientists Took Strontium Tests With Grain And Milk	0
180	Britain's Defences Film On Tv	0
181	?42,748 Property Haul By Gang Uniformed Chauffeur Used In Raids	2
182	Use Of Government Scientists More Flexibility Urged	0
183	Mr. Butler's By-Law For Beach Radio	0
184	Car Gang Raid Furriers	2
185	Bermuda Meeting Valuable	0
186	Meeting With Tv Companies Off Thrown Away	0
187	Youth On ?50,000 Fire Charge Mother's Plea Fails	2
188	Call To Raise Personal Tax Allowances Need For Relief Emphasized	1
189	Treasury Call On Surplus Of I.T.A. ?450,000 Allocated By P.M.G.	1
190	Computer AIDS Archaeology Research Classifying Bronze Age Pottery	0
191	Three Prisoners EAT Hoarded Food	2
192	Hilary Term Calls To The Bar	2
193	New Press May Save Papers From Closure	0
194	Judges Get List Of Previous Convictions In Advance M.P.'s Move To Change Practice Fails	2
195	Increased Divorce Rate In 1959 Risk. Greatest For Brides Under 20	2
196	Primate Hopes To Visit Moscow	0
197	Diver's Telephone Size Of A Penny	0
198	Curb On Butter Imports 390,000 Tons For A Year	0
199	Imports Threat To Cotton United Plea To Mr. Macmillan	0
200	Law Exam. Centres For Provinces	2
201	Scientist Unable To Face New Post	0
202	Pastime' Of Kicking Man When Down Judge's Comment About Young People	2
203	Villagers Put Up Anti-Rally Barricades Night Sit-Downs In Road	2
204	A 'Lady Bountiful' Gets Four Years ?30,000 Taken From Hosiery Firm	2
205	Mistake To Adopt 625 Line System	0
206	Mr. Menzies In London Today	0
207	Escaped Hungarian Caught	2
208	Reduced Inspector Resigning	2
209	Anonymous Letters Before Attack	2
210	Two On Bogus Car Firm Charges Frauds Involving ?52,737 Alleged	2
211	Minister Backs Plea For Steelworks	1
212	Review Of Crimes By Home Office Justice	2
213	Woman Fought An Armed Man M.B.E. For Gallantry	2
214	Former Lincoln City Treasurer Gaoled ?1,200 Fraudulent Conversion	2
215	Printing Aggeement Talks Adjourned	0
216	Nuclear Particle Research Two Kinds Of Neutrino	0
217	Pakistan Call For New Constitution	0
218	New Prime Minister Of Brazil Congress Accepts Third Nominee	0
219	Talks With U.S. On United Nations	0
220	President Tubman's Tribute To British Policy In Africa	0
221	Teenagers Get Too Much To Spend Doctors On Causes Of Delinquency	2
222	Send Rise Back To Treasury Call To Probation Officers	2
223	Lawyer Must Decide On Secrecy Waiving Of Right By Client	2
224	Lord Home Discusses Suez Seizures	0
225	Shot Killed Daughter	2
226	Famine Countries Decline Charity	0
227	Body Of Rumanian Woman Flown Out	0
228	Holiday Takings Stolen	2
229	?36,600 Used By Stockbroker, Court Told Allegations Over Clients' Funds	2
230	Frank Talks With Soviet Leaders	0
231	Bank Raiders Grab ?9,150	2
232	Another Rally Banned In Square Minister Refuses Anti-Fascists	2
233	Homes Watch Urged Warders' Request After Attacks	2
234	Tshombe Offer Of Surplus Revenue U.N. Invited To Send Experts	0
235	Britain's Doubts On Sanctions	0
236	Syrian Complaint Against Egypt	0
237	Raiders Escape With ?8,000 Wages	2
238	Pugwash Sessions Reviewed	0
239	Anti-E.E.C. Moves Cost My Job	0
240	Nigeria Against Even Associate Membership Of E.E.C. No Surrendering Independence	0
241	Fabian Support For The Six	0
242	Criminals Getting More Clever	2
243	Home Office Bans 7 East Germans	0
244	Silver Stolen From Peer's Home	2
245	About Rates	1
246	Calling-In Date Of Old 10s. Series Bank To Issue New ? 5 Note Next Year	1
247	Charge Not Upheld	2
248	Round-The-Clock Moon Study	0
249	Sound Radio Services To Be Extended	0
250	Scotland Gives King Olav A Spectacular Welcome Colour And Pageantry	0
251	Japanese Wool Quotas Urged Textile Firms' Fears	0
252	Ran Down Woman With Car	2
253	Reprieve For Cycle Exports To U.S.	0
254	Teacher To Seek Writ Of Habeas Corpus	2
255	Conspiracy Motor Cycle Death	2
256	Different Look Of New Tv Channel	0
257	Communism And Caste Blamed For Hunger	0
258	Marriage Advisory Centre Set Up	2
259	Identi-Kit Pictures In Two Crimes Alike	2
260	No Tv Advertising Magazines	0
261	2.3% In Midlands Out Of Work	1
262	Mesh Fencing For Proposed Gaol	2
263	Avoiding 'Unnecessary' Rise In Total Rate Call Minister Says Still Need For Council Economy	1
264	Van With ?4,000 Stolen	2
265	T.U.C. Chief On Israel's Common Purpose	0
266	Cleared Of Murder For Second Time	2
267	Hunt For Murderer Of Girl Aged 12	2
268	Advertisements In News Style	0
269	Over 1,000 In Royal Warrant List	2
270	P.C. Accused Of Plot Against West Indian Inquiry Agent Said To Be Involved	2
271	Biology Needs More Money Research Centres Urged	0
272	Train Shooting Of Singer Described Engineer Accused	2
273	Professor Has ?15 Of Bail Estreated	2
274	Vassall Tribunal Man Denies Hunt After Mr. Galbraith, Inquiry Told How Articles Were Prepared	2
275	Mother Suffocated Three Children	2
276	Accused Barrister Mentally Ill	2
277	Why Canberra Was Crippled Action 'Contrary To Practice	0
278	Plea To Speed Up Kenya Elections	0
279	Against Mr. Galbraith Press IS Not On Trial, Says Papers' Counsel	2
280	Misadventure Verdict On Tv Executive	2
281	Hilary Term Calls To The Bar	2
282	7% Drop In Wool Textile Exports	0
283	Two Men Said To Have Attacked Detective	2
284	Island's Clash Over Italians Near Climax Alderney Visit By Consular Agent	0
285	Sterilizing Catgut By Gamma Rays	0
286	?12,000 Theft From Jewellers	2
287	Pay-Television Experiment Organizations' Aid To Be Sought	0
288	Prisoners' Friends Face Cash Crisis	2
289	Curbing Amateur Rocket Makers Call For Heavier Penalties	0
290	Home-Made Rocket Reached 600 M.P.H.	0
291	Many Murders Undetected, Experts Believe Plea For National Forensic Pathology Service	2
292	Courses In Crime Prevention	2
293	Transatlantic High-Speed News Transmission 12 Times Faster	0
294	6D. In ? Turnover Tax For Eire	1
295	Drapers' Reply On Shoplifting	2
296	Tv Levy Can Be Changed	0
297	Closure Threat To Studios	0
298	Greek Embassy Say Queen Was Grasped-Denial By Mrs. Ambatielos	0
299	Youths' ?700 Frauds On Post Office	2
300	Incident Closed, Says Greece	0
301	Greek Background To Incidents	0
302	?5,000-A-Year Widow Stole From Harrods	2
303	Economics Gone Mad	1
304	I Must Consult Precedents Mr. Brooke On Case Of Journalist	2
305	Mr. Foster Leaves Prison	2
306	Calls To The Bar	2
307	Thefts At Oxford And Cambridge	2
308	New Radio Telescope Will Extend Researches ?450,000 Equipment For Cambridge	0
309	Apology By Bench To Frenchman	2
310	Press Council Adopts Its Revised Constitution To Report Publicly On Moves Towards Greater Monopoly	0
311	Ld. Shawcross Asks Press: IS IT Good To Publicize Immorality?	0
312	M.P.S To Visit Eire	0
313	Making Best Use Of Ionosphere Radio Scanner Tested	0
314	Bowaters Cut Price Of Newsprint	0
315	Store Owners Liable For Fire Deaths	2
316	Law Changes Proposed To Make Britain Quieter Say Wilson Committee	2
317	Witness Tells Of Stable Visit	2
318	Outwitting Scientific Criminal	2
319	Code Of Ethics In Journalism Approach To Owners	0
320	Procession Ban For Greek Visit	0
321	Trinity Calls To The Bar	2
322	U.S. Jurists Visit London	0
323	Europeans See British Tv Colour Equipment	0
324	Journalists' Strike	0
325	Lord Devlin Asked To Head Press Council	0
326	Court Of Criminal Appeal Meaning Of Prostitution, Regina v. Webb	2
327	Glasgow Drug-Trafficking Report For Minister	2
328	Russians Want Talks With U.S. On Moon Programme	0
329	Dartmoor Prisoners Still Free	2
330	Rapid Advances In Printing Techniques	0
331	To Sell California	0
332	Proposed Biscuit Tax Concession	1
333	1% Aid Asked For Emerging Nations	0
334	Apology To German Teenagers	0
335	3 Escaped Prisoners Caught Near Gaol	2
336	How To Deal With Delinquents	2
337	Stamp Machines Aid Ratepayers	1
338	Moral Problem Of Youth Now Acute, Says Lord Craven	2
339	Customs Look Into The Games They Get Up To In Clubs Picture Used In Advertisement	1
340	Customs Man Tells Of Shop Search	0
341	?50,000 Cigarette Load Stolen	2
342	Guilt By Association	2
343	Bank Notes 'Whiter Than White Havoc Of Washing Machines	1
344	Squad Told To Get Results No Hint Given On Violence	2
345	Man Says Police Assaulted Him	2
346	End Of 'Guilty But Insane' Verdict Recommended Privelege For Defence Urged	2
347	Export Industry	0
348	Distress Signal Might Have Saved Lives Inquest On Yacht Couple	2
349	In South Africa Escaped Men Talk	0
350	Wage Raid Men Get 4 Years	2
351	Man Found Not Guilty Of Triple Murder	2
352	Film Makers Withdraw Allegation	0
353	Jury Service For Wives Urged End Of Property Qualification	2
354	Nigerian Official To Be Replaced	0
355	Secret Plea By Detainees Prison Claim For Hostel Jobs	2
356	State Boards Refuse To Pay For Tv Damage	0
357	Communist Defeat At Congress	0
358	?7M. Titanium Oxide Plant For France British Firm's Move	0
359	Magistrates To Study Fines Consistency In Penalty Sought	2
360	Against Criminals Lord Shawcross Sees English Judges As Umpires	2
361	More Women On Juries Urged Proposed Changes In Qualifications	2
362	Export Goods Transport Call For Research Organization	0
363	Multilateral Aid For Poor Nations Sir J. Maud's Plea	0
364	Advertiser Sought Death Of Wife	2
365	Detectives Are Cleared Of Corruption Witness Fails To Appear	2
366	Further Evidence By De Courcy	2
367	More Seek To Run Independent Tv Eight New Applicants	0
368	Michaelmas Calls To The Bar	2
369	Tape Recorders At London Sessions	2
370	Girl's Body On Dump Identified	2
371	M.P.S Urge Inquiry On Police Action	2
372	B.B.C. Apology To Pensioner	0
373	Wall Collapse Kills Police Sergeant	2
374	Special Branch Man To Pay Girl Damages	2
375	Keeps In Touch Informing Judges	2
376	Daly Protest At Crown Move Fear Of Injustice	2
377	Prison Officers May Get More Leisure	2
378	Questions On Mail Theft Silence Says M.P.	2
379	New Reprieve For Stateless Man Delay	0
380	Two Executed For Farm Murder	2
381	No Inspection Of Body Required	2
382	Churchill Gift Stolen From Ld. Blandford	2
383	New Labour Peer In Bid For British Lion Films Third Force	0
384	Two Men On Mail Raid Charge	2
385	Light On Helmet For Point Duty P.-C.S	2
386	?300 In Fines On Three Chinese	0
387	Industrial Estate At Old Dock	1
388	Former M.P. On Car Drink Charge	2
389	Casino Official Tells Of His Second Wage Cashier For Trial	2
390	Check On Bullies In New Prison Rules Racket	2
391	Policeman Admits Assault	2
392	British Aid To Co-Operatives Overseas Report Welcomed By Government	0
393	No Money For Testator's Daughter State Takes ?20,000	2
394	B.B.C. activities as M.P.S see them	0
395	Computer's Value In Planning	0
396	Briton Questioned For 3 Hours	0
397	Lord Devlin On A Judge's Duty	2
398	Trial Transcript For Committee Seenozip Affair	2
399	Better Juries Through Tv Trials Barristers' View	2
400	Search Without A Warrant Undertaking To Judge	2
401	Hilary Term Calls To The Bar Lincoln's Inn	2
402	Spacewoman Ready For The Moon	0
403	Bill Aims To Modernize Law On Income Tax Procedure	1
404	Allegations On Tax Refund Denied Proper Rate Paid	1
405	Mr. Chevrier Due Here Tomorrow	0
406	Saudi Arabian Prince Cleared	0
407	Onus Will Be On Supplier To Satisfy Court	2
408	Defence Plea Rejected In Seenozip Case	2
409	Inquiry Into Suicide Attempts	2
410	Squeeze Could Harm Production	1
411	Chandler Released On Bail	2
412	Six Weeks For Bench To Read Seized Books Raids In Sheffield	2
413	Defence Opens In ?87,000 Trial	2
414	More Marriages Of Under-20s Rise In Divorces	2
415	Police Jobs For Footballers Discarded Players Invited	2
416	Newspaper Deaths Inevitable	0
417	Decision Soon On B.B.C. Chairman Man	0
418	Scottish Exhibition To Boost Trade 240 Firms Take Space	0
419	Light Machine Can Cut Diamonds	0
420	2 Murders By Father Of Happy Family	2
421	Not Democratic Granada Chief's View	0
422	Astronomers Put Clocks Back	0
423	Russia Impressed Scientists Education, Research And Manufacture	0
424	Circus Owner Goes To Gaol Grave Contempt Of Court	2
425	G.C.E In Gaol: Man Gets New Chance	2
426	Police Inquiry To Be Raised At Council	2
427	South African's Case To Be Reviewed Home Office Talks	0
428	Minister Joins World Freedom Academy	0
429	Years Of Crime Before Arrest Survey Of First Offenders	2
430	Labour Will Put Up Taxes Liberal Warning	1
431	Behind The Teenage Gang Clash At Solihull Meeting May Create Better Atmosphere	2
432	Flexibility In Taxation Mr. Maudling's Regulator	1
433	Easter Term Calls To The Bar Lincoln's Inn	2
434	Housebreaker Gets Seven Years	2
435	Couple For Trial On Murder Charge	2
436	Action Against Pirate Radio Ban On Work In Ships?	0
437	Judge Withdraws One Charge	2
438	Prison For County Cricketer	2
439	?250,000 Sought To Assist Young Juvenile Delinquents	2
440	Outlook Good, Mr. Maudling Says	1
441	Magistrate Refuses To Deal With Case	2
442	How Police Time IS Wasted	2
443	Lord Parker Says Youth No Worse Than In Past Plea For Removal Of Temptation	2
444	A.A. Accused By Barrister	2
445	Machines Ousting The Mrs. Mops	0
446	Lord Thomson To Plan Evening Papers	0
447	Woman, 67, Punched Raider	2
448	Best Form Of Aid For New Nations	0
449	May Have To Collect Newspaper Supplements Shops Facing Weight Problem	0
450	Judge And Counsel In Clash	2
451	Man For Trial On Notes Charges	2
452	Summonses	2
453	Ghanaian Willing To Go Back	0
454	Case Judge Calls For An Inquiry Into Conduct Of Detective	2
455	Verrier Not Guilty Of Manslaughter No Evidence Offered	2
456	P.-c. Asked About Flat Battery	2
457	Police Chief's Objections To Civilian Traffic Corps Flaws Of Separate Law Enforcement	2
458	Warning On Dearer Newspapers	0
459	Bench Admit A Secret Tape Recording Defence Objection	2
460	Policeman Accused Of Attempted Murder	2
461	Power Route By Computer Board's Objections At Inquiry	0
462	Aiding Investment Through Taxes Mr. Heath's View Of The Future	1
463	Former Solicitor Gets 7 Years	2
464	Magistrate Criticizes The D.P.P.	2
465	Members Of Inquiry Into Penal System	2
466	Scotland Yard Men Called To Jersey	2
467	3 Accused Of Attack On Woman	2
468	Mindless Morons 16 Youths Sent To Detention Centres	2
469	Summonses Against Tax Official	2
470	Moves Behind The Scenes In Cuba Missile Crisis Mr. X	0
471	Improved Spanish Trial Procedure	0
472	Rectifying Israel Border Error	0
473	Cabinet Changes In S. Africa	0
474	Barricades Inside Seoul Assembly Attempt To Block Bill	0
475	Indonesians Killed In Sarawak	0
476	Sir A. Home To Meet Tunku In London	0
477	British Message To Moscow	0
478	?500 Forfeited For Telephone Calls	0
479	?16,000 Charge Man To Plead Alibi	2
480	Schoolboy Remanded On Murder Charge	2
481	Fear For Gaol Security Mr. Brown To See Mr. Brooke	2
482	Dining Car Men Gaoled	2
483	Dartmoor Man Still At Liberty	2
484	Guilt Reaction To The Suicide	2
485	Youth Charged With Birmingham Murder	2
486	Easy Former Prisoner On The Chances	2
487	U.S. Democrats Roused To A Johnson Orgy Rival Delegates Refuse To Sit At Convention	0
488	More Arrests In India Food Demonstrations	0
489	More Spending On Research Urged Decadence Threat	0
490	New Programmes For B.B.C. 2 Not A Panic Move	0
491	British-Type Pillar Boxes For Iran	0
492	Bouncing Signals Off The Moon Birmingham Research	0
493	Three Possibilities In Shooting	2
494	Shoplifting Experiment Leads To ?20 Fine	2
495	Crushing By Means Of Shock Waves	0
496	Woman's Body Exhumed	2
497	Russians In Crash Miss Inquest Diplomatic Immunity	0
498	Jewel Robbers Gaoled	2
499	Swedish Actress Says P.-C. Lied Trinidadian Acquitted	2
500	Jury To Decide On Mr. Rookes's Damages	2
501	Russia Orders ?40,000 Women's Boots	0
502	False Teeth Open Way To Freedom Prisoner Reformed	2
503	Brain Drain Men Criticized	0
504	Both Sides Stand Firm In Tv Horse Racing Dispute	0
505	Book Publishers Produce Films	0
506	?2,450 Fine On Solicitor Cut To ?700	2
507	Gaol For Damaging The Queen Mary	2
508	Faster S. African Mail Service Cargo Ship Launched	0
509	Stop British Encouragement Of Apartheid	0
510	Urgent Talks Planned With Efta Governments	0
511	6 Guilty On Joint Hemp Charge Ruining Lives	2
512	Police Council To Study New Recruitment Incentives	2
513	Voices On Tape In Court Ruling At Murder Trial, 'Hazards Of Memory	2
514	Challenor Inquiry Of Detonators	2
515	Three Accused Of Murder In Prison	2
516	Sales Of New Style Paper Rise In First Month	0
517	Judge Orders Man To Don Mask	2
518	Juryman Spoke To Accused Man	2
519	State Industries Committee Head	1
520	Inquiry Warned On Burying Cables Permanent Scar	0
521	Head Of Technology Council	0
522	Fined Detectives Reinstated Leeds Decision	2
523	Call For Ratable Values Inquiry	1
524	Opposition want time limit on imports surcharge	0
525	Warrant Out For ?18,000 Reward Money Man	2
526	Was Blackmailed Q.C. Opens Defence	2
527	Exports Left As Ships Sail U.S. Strike Threat Hits Britain	0
528	Croupier Denies Shooting Of Director	2
529	Alleged Corrupt Gift Of ?750 To Councillor	2
530	Of Drug Racket	2
531	Employers' Post For Mr. M. Jukes, Q.C.	2
532	Former Stockbrokers Sent For Trial	2
533	Being Framed Q.C. Alleges Malice	2
534	Theatre Strikers Suspended	0
535	Search For Girl Narrowed	2
536	Youth Warned On Mass Hysteria	2
537	Driver Used Car As Battering Ram	2
538	Man Took Poison In Police Car	2
539	Man Remanded On Girl Murder Charge	2
540	Driver Gaoled And Banned For 50 Years	2
541	140 Objects Are Now Circling The Earth	0
542	B.B.C. Power Fading Overseas	0
543	Another Clash In Eire Court	2
544	Government's Export Plan Today Further Delay Ruled Out	0
545	Gaol Sentences On Ten Footballers Gauld Given Four Years And Told To Pay ? 5,000	2
546	Policemen Shot After 90 M.P.H. Chase, Prosecution Say Man Accused Of Intent To Murder	2
547	Cable Contracts Of Nearly ?6M.	0
548	Two Irish Leaders Meet Again	0
549	Payments For All Road Victims Urged Law Outdated, Ld. Parker Says	2
550	Mr. Jay Forecasts Increase In City Workers	1
551	Woman Of 85 Attacked By Male Nurse 18 Months' Gaol	2
552	Modern Marketing Urged On Press	0
553	Solicitors Told To Pay ?8,600 Damages Failed To Bring Action For Client	2
554	Man Accused Of 1962 Armed Robbery	2
555	Casement Goes Home Remains Flown To Ireland	0
556	A Press Baron Of Culture And Power	0
557	Prisoner's Penalty Cancelled	2
558	Blurb Dropped Decca's Explanation	0
559	Legislation On Pirate Radio	0
560	Adoption Law Loopholes Mr. Abse Calls For Action	2
561	Private Land Included In Armed Trespass Bill	2
562	Pistol Threat To Airmen Alleged Man Remanded	2
563	Former Councillor Fined ?100 False Expense Claims	2
564	Gift Rocket Will Carry Mouse	0
565	Ceases Publication Next Month 46 Years Of Highest Standards	0
