id,date_short,party,party_2,name,sents
11,5/3/1978,Conservative Party,conservative,Sir Michael Havers,"central banks always occupy a curious position. they are very independent certainly our bank of england is and one knows of a number of central banks of foreign states which are very jealous of their independence, which they carefully guard. we believe that problems

could arise under local law with regard to the capacity of a state to consent on behalf of a central bank to proceedings being taken against funds."
12,6/13/1978,Conservative Party,conservative,Sir M. Havers,but it is a highly technical matter. the amendment follows an issue that i raised in committee basically because the independence of the central banks is jealously guarded by them. it is essential that they should be put into an entirely independent position throughout the bill.
13,3/13/1978,Conservative Party,conservative,Mr. Lawson,"the recreation of a real measure of parliamentary control over monetary policy is desirable not only in itself, which indeed it is, if monetary policy is as important as most people now agree that it is and if parliament is to assert itself, as i believe it should. it is also important as the only practical means of reconciling a greater degree of independence for the bank of england with what might be termed the democratic imperative. on the question of independence, i agree with the conclusion of dr."
14,3/13/1978,Conservative Party,conservative,Mr. Lawson,"parliamentary democracy, which is what we have had always adhered to in this country and attempted to export not always successfully to the rest of the world, has far more to do with open discussion and parliamentary control. in case any of this seems like airy-fairy theorising, far removed from the real world, let me quote finally from a well-known former practitioner, the last governor of the bank of england, lord

o'brien, who said in an address last december,
i believe there is also a case for governments, that is the executive branches of governments, to share part of their power over central banks and monetary policy with parliaments  ¦ this point is particularly relevant for the united kingdom  ¦ i, for one, believe that if the bank of england were made more directly accountable to parliament the bank would, paradoxically, gain a degree of further independence because the governor would be given a platform which present constitutional arrangements have hitherto denied him. if the present government are prepared to travel along this route, which would be in the interests of parliament and of sound monetary policy alike, then they have our blessing."
15,2/25/1975,Conservative Party,conservative,Mr. Jenkin,whatever the outcome and i should like the right hon. gentleman to be aware of this the episode will have done lasting damage to the credibility and independence of the bank of england as a lender of last resort. i was about to make that point when my hon.
16,2/21/1978,Labour Party,labour,Mr. Sheldon,"the formation of a mechanistic relationship a blind addiction to looking at the barometer without looking out of the window to see whether it is raining is unwise, and i am very frightened of the use of instruments in that way. the role that the opposition see for the greater independence of the bank of england, which they forecast in ""the right approach to the economy"", brings to my mind some unpleasant comparisons with the situation before the war, when montague norman was in charge. however, even under him, the government had some control over what is and must remain an essential part of the economy."
17,2/21/1978,Labour Party,labour,Mr. Sheldon,"friends to support the government amendment in the division lobbies later this evening. as last time there was an unwelcome russian visitor the then labour government endeavoured to placate the russian government by handing over the total state gold reserves of the sovereign independent republics of estonia, latvia and lithuania which had been deposited with the bank of england for safe keeping against the eventuality of these countries being invaded by soviet russia do not the government's threats to withdraw the british army of the rhine, coincident with another russian visit to this country [interruption.] suggest that the business for this coming week will once again include an attempt by a labour government to placate this country's enemies? i join the hon."
18,6/16/1980,Conservative,conservative,Mr. Julian Amery," perhaps more important than the tariff and quota and commodity agreements side was that there was a single currency   sterling. that had the great advantage that, as all the central banks of the territories, whether independent, such as australia, or dependent, such as the african territories, banked their reserves with the bank of england, any fluctuations in the terms of trade did not have to be settled overnight with balances built up in favour of the raw material producers when raw material prices were high and run down when the terms of trade went the other way. the result was a spectacular improvement in the conditions both of this country and of the countries with which we were politically associated."
19,3/24/1981,Labour,labour,Mr. Clinton Davis,"i believe that that formula will avoid the domination of working members by a single section of the market   a possibility that has caused some anxiety. there are also the external members and the independent persons, whose role i hope will be impartial, and whose appointments will be confirmed by the governor of the bank of england.  the numerical balance proposed by the right hon."
20,12/6/1982,Conservative,conservative,Mr. Aitken,"friend agree also that it is essential to restore confidence in lloyd's by putting an end to the present shambolic atmosphere of leaks, rows and scandals? does he agree also that probably the best and quickest way to do that is to follow the apparent advice of the governor of the bank of england and to appoint an independent chief executive of lloyd's who would do the job of regulation which the present chairman and committee are so manifestly failing to do? it has been a good and full debate, in which all of the contributions from both sides of the house have materially advanced what we all want to do today."
21,2/24/1983,Labour,labour,Mr. Phillip Whitehead,"not all quarters, including some sections of the conservative press, wholeheartedly approved that gentleman's outstanding qualifications for the post. the daily telegraph, having attacked the appointment in its editorial and been somewhat dismissive of it, could find only one thing to say in his favour in its city column, which said:
 he may have that independence of mind so valuable in a central banker that comes from eton and oxford, from possession of a country estate and the lord-lieutenancy of kent"".  to borrow a phrase from my noble friend lord annan, if i may so describe him, we wish to see not just the great and the good but sometimes the lesser and the better as chairmen and trustees of these bodies."
22,11/22/1983,Conservative,conservative,Mr. Budgen,"is that right? the bank of england still trades upon its old, pre-1945 independence, but it is now no more than a well-paid arm of the treasury. it seems rather odd when i hear from some of my friends, whose names i shall not reveal, that the figure of 90 per cent."
23,12/17/1984,Conservative,conservative,Mr Lawson,"that is why i thought it right to have in inquiry into the adequacy of banking supervision in this country: both the way in which the existing system is operated, and whether it statutory framework needs to be improved. as to whether there should be an internal inquiry, or a public inquiry, because of the nature of the matter it is right that it should be an internal inquiry, which will involve not only the bank of england but the treasury and an independent consultant.  as for when i knew about it, the governor notified me of the action which he intended to take shortly before the rescue was announced."
24,12/17/1984,Conservative,conservative,Mr. Lawson,"that consultant has not yet been appointed. may we be told how the bank of england could act as an independent adviser in the case, say, of johnson matthey when the bank has already offered Â£75 million in the rescue programme? is the right hon."
25,12/17/1985,Social Democratic Party,labour,Mr. Ian Wrigglesworth,"although the establishment of the new board is a welcome step, will he confirm that all its members will be appointed by the governor of the bank of england? does he agree that it would be much better if the bank of england carried on its role as a central bank like other central banks and that the supervisory function should be carried out by an independent board? will he consider that possibility?"
26,12/17/1985,Social Democratic Party,labour,Mr. Ian Wrigglesworth,"will he also note that the other provisions in the statement are a welcome strengthening of the present regime? the board of banking supervision will make an independent report of its own, to be contained within the annual report of the bank of england. what it chooses to report will inevitably be governed by the laws concerning banking confidentiality."
27,12/17/1985,Conservative,conservative,Mr. Lawson,"secondly, the duty of supervising british banks is not laid upon the treasury but is laid, and will be quite clearly laid by the legislation to which i have referred, on the bank of england. therefore, there will be a duty laid on the bank of england to have supervisory staff of the appropriate quality and calibre and also to have independent outsiders to ensure that there is a strengthening of the enforcement of supervision at the top. will the right hon."
28,1/14/1986,Conservative,conservative,Mr. Brittan,"and learned gentleman tell me in what way the body which he has in mind will be more independent, more free-standing than the securities and investment board, jointly appointed by the governor of the bank of england and the secretary of state? no. there is little in lloyd's recent history to inspire confidence."
29,1/14/1986,Labour,labour,Mr. Gould,"there have been the problems with the inland revenue that necessitated the huge inquiry, the resignation of the bank of england appointed chief executive following a row about his independence, the difficulty in prosecuting admitted criminals at lloyd's and the failure to compensate investors in the pcw and other syndicates for their losses. it could be said that lloyd's role in that affair was to obstruct rather than to help investors. the white paper itself received a general welcome and i hope that the bill will meet the same response."
30,11/28/1986,Conservative,conservative,The Economic Secretary to the Treasury (Mr. Ian Stewart),"the bill provides for a new board of banking supervision to advise the bank of england in its exercise of the powers conferred upon it, and the majority of the members of the board will be independent of the bank of england. the distinction between recognised banks and licensed deposit-takers will be ended, and with it the separate systems of supervision and regulation which applied to the two categories. more frequent supervisory visits to institutions will, therefore, be possible, and a programme of inward and outward secondments to strengthen the commercial experience of supervisory staff has been introduced."
31,11/28/1986,Conservative,conservative,Mr. Stewart," although in some countries banking supervision is conducted by bodies independent of the central bank and the government, international practice varies widely and it is clear that each country should make the arrangements most suited to its circumstances. for many years before the 1979 act, the bank of england was engaged in informal supervision and since 1979 this has been put on to a statutory basis. following the decision to establish an independent board to deal with other financial activities, the government considered whether it would be sensible to establish a separate supervisory body for the banking sector."
32,11/28/1986,Conservative,conservative,Mr. Stewart,"however, given the knowledge and experience of banking supervision built up within the bank of england in recent years, we concluded that the bank should continue to be the supervisory authority in this area but that the system should be strengthened by introducing an element of independent advice and judgment into the process.  therefore, the bill establishes a new board of banking supervision, which provides for advice to be given to the governor and his senior colleagues on supervisory matters. the rules for the board will require that its outside members are always in a majority at its meetings and the board will make its report to parliament through the annual report of the bank of england."
33,11/28/1986,Conservative,conservative,Mr. Stewart,"if, in any case, the bank of england decides not to follow the advice of the independent members, the ex-officio members of the board will be required to notify the chancellor of the exchequer.  the conduct of supervision will be subject to continual review by the board, which the government believe will add greatly to the experience available to the bank of england in taking what are inevitably sometimes extremely difficult decisions. the eventual decision seems to be that there should be no separation along the lines that have been developed in many other countries."
34,11/28/1986,Conservative,conservative,Mr. Anthony Nelson,"however, there are some arguments in favour of at least strengthening the independence and role of a supervisory authority within the central bank, even if it is not to be entirely separate.  it is suggested that where a supervisory authority is within the central bank, and where the board of banking supervision is within the bank of england, conflicts of interest could arise between the regulatory responsibilities of the board, and the central bank's prudential role.  my next point relates to the role of the independent members of the supervisory board."
35,11/28/1986,Liberal,Others,Mr. Penhaligon,"i note that the legislation states that if the independent members disagree with the bank of england members, they can report to the chancellor. does that mean that they meet separately and independently? we intend to table amendments to give the supervisory board a certain degree of independence."
36,11/28/1986,Labour,labour,Dr. McDonald,"however, at least in terms of representation on the board, the question of how far it should be independent of the bank of england is a matter that should be discussed thoroughly in committee.  reference has also been made to large exposures, and doubts were raised on that matter from both sides of the house. as a bank, morgan grenfell is subject to the supervisory authority of the bank of england and to the terms of the banking act."
37,1/20/1987,Conservative,conservative,Mr. Lawson," the bank of england was closely involved in setting up and determining the terms of reference of the high-level internal inquiry into the management of morgan grenfell, which was announced last week and, at the governor's suggestion, the inquiry team is now to be strengthened by the addition of a senior independent auditor. the group chief executive of morgan grenfell and the director at the head of its corporate finance division have today announced their resignations, and an executive committee of the board will manage the group pending the appointment of replacements.  i have no reason to think that this will be a cosy system."
38,2/19/1987,Conservative,conservative,Mr. Stewart,"it seems that the advisory functions of the independent members will greatly strengthen the system and will be of great value to the bank of england. i am sure that the bank will not lightly disregard the comments of the independent members either about specific matters of supervision or more general questions, such as those which my hon. i beg to move amendment no."
39,2/19/1987,Labour,labour,Dr. McDonald,"5, in page 2, line 25, at end insert 
 and to resign from the board immediately on the commencement of an investigation by the bank of england into a bank in which the independent member has a position of responsibility'.  in his reply to the hon. i beg to move, that this house doth agree with the lords in the said amendment."
40,5/7/1987,Conservative,conservative,Mr. Ian Stewart," it has always been the government's intention that the independent members of the board of banking supervision should be in a majority, and that is accepted by the bank of england. the provision that is set out in paragraph 3 of the schedule gives a degree of flexibility to change the total number of board members if it proved desirable to do so in future.  at one time the chancellor was even more extreme than the prime minister."
41,3/21/1988,Labour,labour,Mr. Robert Sheldon,"he wanted to enable the bank of england, through legislative powers, to decide these matters independently of the house of commons. he held that view in 1977, and, although he may wince at the recollection, we can at least congratulate him on changing. sooner or later the british people will turn to more equitable ways of running the economy, and i hope that they will do that before too long."
42,6/23/1988,Social Democratic Party,labour,Dr. Owen,"will the prime minister support in hanover next week the proposed study by the central bankers for a european independent central bank? does she agree that that would be the mechanism whereby the freeing of capital flows would be a success, so that in the longer term united kingdom domestic interest rates might come down to the oecd average? member for plymouth, devonport (dr."
43,6/30/1988,Conservative,conservative,Mr. Heath,owen) asked her a question about a european independent central bank. my right hon. the answer is that we would see the independent sovereign states coming into action.
44,10/24/1988,Conservative,conservative,Mr. Curry,"what would happen if five independent sovereign states   for example, the french, the germans, the dutch, the belgiums and somebody else   said that they would get together and create a central bank and a common currency, and do those things which they think are necessary? we forget that our membership can be a constraint upon as well as a spur to the action of others. gentleman said, there is an important omission."
45,3/20/1989,Conservative,conservative,Mr. Julian Amery,it is curious that nobody has talked about restoring to the bank of england the independence which it had before 1948. it did not have complete independence. should we go back to it?
46,3/20/1989,Conservative,conservative,Mr. Julian Amery,"should we try to institutionalise our counter-inflationary policies by giving the bank of england greater independence?  i ask those questions in the context of our fight against inflation, as they are the only things that i can think of which might add to the clear commitment of my right hon. ought we not to be thinking about the longer term?"
47,3/20/1989,Conservative,conservative,Mr. Julian Amery," is it possible that greater independence allowed to the bank of england might help us in the international sphere? it is inevitable, and right, that we will have a lot of discussion about a possible european currency, a possible european reserve bank or a possible european central bank. member for brighton, pavilion (mr."
48,3/20/1989,Labour,labour,Mr. Brian Sedgemore,"amery) that monetary policy could be cured by some administrative changes and that one of those changes should be that the bank of england should be given an independence which it has not had since it was nationalised. as he began his argument, i thought that he would suggest that we should return to the gold standard at the same time. friend the member for brighton, pavilion (mr."
49,3/20/1989,Conservative,conservative,Mr. Neil Hamilton,"amery), i hope that we may think again of establishing an entirely independent control of the money supply by privatising the bank of england.  in this as in many walks of life, it is politicians who cause the difficulties with which we must grapple. they may not have a bean, but their advice, and the contribution they can make, would be vital."
50,5/3/1989,Conservative,conservative,Mr. Jeremy Hanley,"it is surely in the public interest that the frc should remain independent and that not just its chairman but all its members should be appointed by the secretary of state and the governor of the bank of england. payment should take the form of a levy on all limited companies of only Â£6 for every firm registered at companies house. is it not widely recognised in the city that london would be the obvious centre for a central european bank, and that britain should be in the european monetary union of which that central bank would be a part?"
51,7/6/1989,Liberal Democrat,Others,Mr. Beith,"from a counter-inflationary point of view, would it not be better if that central bank had more of the independence enjoyed by the bundesbank, rather than the relationship that the bank of england has with the government? gentleman setting an additional condition that before the labour party can consent to britain joining the european monetary system, it must be clear that the bundesbank and any future european central banks will not be independent of government? the trouble with the right hon."
52,10/24/1989,Liberal Democrat,Others,Mr. Beith,"sheldon), who chairs the public accounts committee, who suggested that an independent bundesbank was an obstacle to british membership of the ems. there will continue to be an independent bundesbank, and if we had more central bank independence in this country there might have been more effective discipline than there has been here for the past 20 years. we have learnt from the opposition this afternoon that a central part of their policy is to devalue the pound against other currencies."
53,10/24/1989,Conservative,conservative,Peter Hordern,"we should align ourselves to the deutschmark and the erm, and that is the government's policy. in the best of all possible worlds we would have an independent central bank. in the old days we were tied to the gold standard, and that was regarded as the height of british sovereignty."
54,10/24/1989,Conservative,conservative,Mr. Julian Amery,"in the short time allowed, i want to return for a moment to a point that i made in the budget debate earlier this year. i suggested that it was time that the government considered restoring to the bank of england some of the old independence it had until 1948. i thought that that was a rather radical proposal for an elderly privy councillor to make, but nobody paid it the slightest attention."
55,10/24/1989,Conservative,conservative,Mr. Julian Amery,"unlike any other country, britain created a reserve currency of its own, the sterling area. we had a single reserve currency, sterling, and a single reserve bank, the bank of england, but all the other independent members of the sterling area had their own currency and central bank and there was no attempt to dictate to them what their budgets should be.  there may be lessons to be learnt here in approaching the second stage of the delors programme."
56,10/25/1989,Labour,labour,Mr. Garrett,have three or more. there is a proposed bank of england code which will encourage companies to have independent directors.  hon.
57,10/26/1989,Conservative,conservative,Mr. Redwood," nor do i think that there is a need for the secretary of state to have a role in appointing the members of the panel. it is already the position that the chairman, two deputy chairmen and one further individual are independent lay members appointed by the governor of the bank of england. the remaining member organisations represent the full range of those who have a interest in the proper market conduct of takeovers."
58,10/31/1989,Conservative,conservative,Mr. Nigel Lawson," there is, i believe, one other way in which anti-inflationary credibility might be enhanced in the eyes of the market and that is why, a year ago, i proposed to my right hon. friend the prime minister a fully worked-out scheme for the independence of the bank of england. but that would be a buttress; it would not be a substitute for what i was saying earlier."
59,10/31/1989,Conservative,conservative,Mr. John Butcher,"did my hon. friend hear the former chancellor say that he recommended according the bank of england similar status to that of the german bundesbank, and that the bundesbank had enjoyed constitutional independence and been both a brake on inflation and a prudent guardian of the money supply in the federal republic, thus providing the benefits that we have seen in that country? will my hon."
60,10/31/1989,Conservative,conservative,Mr. Townend,butcher). i thought that one of the ex-chancellor's most significant statements today was his suggestion that he had advanced to the prime minister proposals to make the bank of england independent and more like the bundesbank. that may indeed be one of his great legacies: an independent bank of england would give us even less reason to join the erm and experience the discipline of the bundesbank.
61,10/31/1989,Conservative,conservative,Mr. Townend," i hope that my right hon.  as it is, there is no framework, no rule and no discipline now governing british economic policy. we are not in the exchange rate mechanism and we are clearly not joining it; we do not have in independent central bank; and the right hon."
62,10/31/1989,Liberal Democrat,Others,Mr. Beith,"member for blaby implied that we must have one or the other if anti-inflation policy is to be credible. it would be interesting to hear whether the study of central bank independence to which he referred has been taken any further or whether it found its way into the prime minister's or sir alan walters's wastepaper basket; and if so, for what reason. perhaps it is to be a new source of dispute."
63,10/31/1989,Liberal Democrat,Others,Mr. Beith,"is it an unchanged commitment which will be continued by the new chancellor, or will it surge forward at some point as the issue on which he resigns when he discovers that it is the subject of tittle-tattle and unwarranted things all got up by the press?  there is no clear framework within which british economic policy operates   it is not the ems, the independent central bank, broad money or narrow money; and it is certainly not the exchange rate. if monetarism cannot be worked by the present government, i cannot conceive of any government that could make it work."
64,10/31/1989,Conservative,conservative,Mr. David Howell,"we should be under no illusions: in all that he said this afternoon, he made one comment of the utmost significance which will be central to our debates in future. he said that he had been thinking, as many of us have, about how to set up a genuinely independent central bank which would depoliticise monetary decisions. the politicisation of such decisions bedevils them, causing them to be taken on political rather than purely technical grounds."
65,10/31/1989,Conservative,conservative,Mr. David Howell," the second new thought follows from the first. if we have an independent central bank, we can begin to operate on the money supply in ways in which we have not been able to do hitherto. we set the interest rate for money and the central bank provides unlimited quantities as lender of last resort at the price of 15 per cent."
66,10/31/1989,Conservative,conservative,Mr. David Howell,"many of us wonder whether we can switch to operating on the bank's reserves   on the monetary base. in that case, the independent central bank would not set interest rates. instead, it would operate on the reserves and interest rates would fall out of the end of that."
67,10/31/1989,Conservative,conservative,Mr. David Howell,that is a stark and unreal choice on which we have paralysed and crucified ourselves.  i understand that references to independent central banks are anathema to many opposition members. they think back to 1931 when they seized control of the banking system from montagu norman and the rest.
68,10/31/1989,Conservative,conservative,Mr. David Howell," my right hon. friend the member for blaby, the former chancellor, has confirmed that the time has come for us to have an independent central bank which can operate an effective monetary policy which ensures stability of the currency upon which everything   the jobs, growth and everything else hon. members want   depends."
69,10/31/1989,Conservative,conservative,Mr. Matthew Carrington,"friend the member for blaby (mr. lawson) said that suggestions had been made in the treasury that the bank of england should be constituted with its own charter   presumably modelled on the federal reserve in the united states   to enable it to control the money supply independent of political decisions. that has some attractions, even in isolation, but i am afraid that it is the attraction of copping out on political decisions."
70,10/31/1989,Conservative,conservative,Mr. Matthew Carrington," it is sensible to consider that suggestion as a way of resolving the inherent problems of the erm. if the bank of england and the banque de france could have a relationship with a more moderately constituted bundesbank, so that the three central banks of the major ec currencies could operate monetary policy independent of political decisions, they could run monetary policy in such a way as to produce stability of monetary policy across the ec which would enable the erm to work. that is a fundamental change towards which we should perhaps move more rapidly than we are moving towards european monetary union."
71,10/31/1989,Conservative,conservative,Mrs. Teresa Gorman,"lawson), however, touched on one alternative: he said that he had spoken to the prime minister some time ago about the prospect of privatising, or at least making independent, the bank of england, and he presented the idea that banks should not be manipulated by politicians.  there is an alternative to our entry into the ems, with all that that might entail.  i hope that the treasury will consider renewed targeting of monetary supply."
72,10/31/1989,Conservative,conservative,Mr. Anthony Coombs,"if an independent bank of england    as mentioned by my right hon. their concern for the health of the economy is bogus   and so is their motion, which i urge the house to reject. to be fair to herself, will the prime minister tell us why she rejected the former chancellor's proposal for an independent bank of england?"
73,11/2/1989,Liberal Democrat,Others,Mr. A. J. Beith,"the chancellor is inviting the house and the country to accept an alternative proposal set out in this document, which is an invitation to a race that the bundesbank would be almost certain to win   to an independent central bank of the sort favoured by his predecessor. i am glad that the hon.  i mention two major reservations that we have about states two and three."
74,11/2/1989,Labour,labour,Mr. Smith,"let me make it clear that we would not be willing to accept any system of central banks which would be independent of political control, just as we strongly oppose an independent status for the bank of england such as the former chancellor, the right hon. member for blaby appears to have been considering a year ago and which was only tantalisingly revealed in his post-resignation comments this week. i do not know whether the present chancellor will pick up that idea and seek to persuade the rest of his colleagues   "
75,11/2/1989,Labour,labour,Mr. Smith,"in the proposed system of independent central banks there is no democratic accountability at all. the whole point of having an independent banking system, bundesbank-style, is that it is insulated from politics. he said:
 a year ago, i proposed to my right hon."
76,11/2/1989,Labour,labour,Mr. Robert Sheldon,"friend the prime minister a fully worked-out scheme for the independence of the bank of england.""    [official report, 31 october 1989; vol. 159, c. with the next general election now probably delayed at least to the autumn of 1991, and perhaps even the spring of 1992, the best time to lock ourselves into the erm would be either in the autumn of 1990   once french and italian exchange controls have been fully removed and our own inflation rate has fallen closer to that of germany    or in the first week immediately after the next general election."
77,11/2/1989,Conservative,conservative,Mr. Nigel Forman," if the latter choice seems politically preferable, it should be accompanied and supported by an unambiguous commitment in our next manifesto to establish the bank of england on a new basis of strength and independence analagous to that of the bundesbank or the federal reserve. that will give extra confidence to the markets and increase the credibility and, if necessary, the austerity of monetary policy in this country. member for blaby (mr."
78,11/2/1989,Liberal Democrat,Others,Mr. A. J. Beith,"lawson), in his intervention on tuesday, about the independence of the central bank. a number of conservative members share my interest in that idea and my belief that the lack of independence of britain's central bank is a weakness in our tackling of inflation.  one of the merits of a european central banking system which enjoys some political independence is that it could provide an anti-inflationary mechanism which was not so subject to the short-term whims of politicians as elections approached."
79,11/2/1989,Liberal Democrat,Others,Mr. A. J. Beith,"there is considerable merit in that.  what has happened to the medium-term financial strategy, which was always quoted in previous statements? does the chancellor now accept his predecessor's view that some stronger external discipline, such as full membership of the european monetary system or an independent central bank, is needed?"
80,11/15/1989,Liberal Democrat,Others,Mr. A. J. Beith," how does the chancellor expect industry to expand on present interest rates? none of those things will do for us what we are not prepared to do for ourselves. in that context, to establish sound money, stable exchange rates and lower interest rates, we might as a government and as a nation look hard at what we could do for ourselves by restoring the independent status of the bank of england and freeing it from its current political control."
81,11/15/1989,Conservative,conservative,Mr. Christopher Gill,"there are other and more varied ways in which we can take steps to do for ourselves   things which, i suspect, hon. today we have already heard references to what he said. he agreed with the british view that there should be a trial period of a couple of years, after all controls on capital movements were removed, before proceeding further, and that a political framework must be established before there could be a single independent european community central bank."
82,11/24/1989,Conservative,conservative,Geoffrey Finsberg,"those who criticise the british attitude towards the exchange rate mechanism always omit that proviso by mr. she is a prime minister who can brook no discipline over her conduct and control of power. she demands the freedom to devalue the currency and to print more money   the freedoms that would be restricted if we became full members of the european monetary system and had a more independent central bank, whether british or european."
83,11/28/1989,Liberal Democrat,Others,Mr. Beith,"why does the prime minister want the freedom to devalue the currency and to print money? that may be why my right hon. friend's predecessor put forward the argument that there should be an independent bank of england, similar to the independent bundesbank, but i do not accept the whole of that argument."
84,11/28/1989,Conservative,conservative,Mr. Heath, i believe that it is still possible for the governor of the bank of england to use his influence in the city. she duly got one   for 16 june 1990.    does not the prime minister agree that it would make very good sense for britain now to organise a serious study of the constitutional and economic consequences of economic and monetary union   a study not confined to the governors of the european central banks   and at the same time to ensure that placed at the very top of the european agenda is the future relationship between the european communities and the emerging independent and democratic countries of eastern europe?
85,12/7/1989,Labour,labour,Mr. Shore," [interruption.] as it is becoming clear that the german bundesbank is keen to establish itself as a central bank for western europe, what is the policy of the government and the bank of england? is it not fair to say that the governor of the bank of england wants more independence from the treasury, and would like the bank of england to operate in a similar way to the german bundesbank?"
86,1/18/1990,Conservative,conservative,Mr. Lilley,"my hon. friend knows that we considered that idea some 18 months ago, and we concluded that it is difficult to have a constitutionally independent central bank, such as exists in the united states and west germany, within our westminster constitution because the house, on behalf of the british people, expects the government to be accountable and responsible for monetary and economic policy. the financial secretary to the treasury is intervening from a sedentary position."
87,1/23/1990,Liberal Democrat,Others,Mr. Beith,the prime minister hates the idea of the government who she heads being inhibited in any way. she adopts exactly the same attitude in her opposition to the previous chancellor's proposal that there should be a more independent central bank. it was instructive to hear what the prime minister said about that.
88,1/23/1990,Liberal Democrat,Others,Mr. Beith,"his evidence to the select committee made it clear that he is in no way attached to monetarist theories. monetarism is out; the medium-term financial strategy is out; and the idea of an independent central bank even in britain, let alone as part of the new european model, is excluded   if not by the chancellor, very firmly by the prime minister. the ems is still a long way off."
89,3/6/1990,Conservative,conservative,Mr. Heseltine,"but one would preserve that sense of national independence if we saw it happening coincidentally with the establishment of a central independent bank in britain.  we should suggest to our european partners that they should all establish independent central banks on the same model as the bundesbank, operating to the disciplines of the bundesbank. let us have no illusions about that: the disciplines of the bundesbank are precisely those to which we are all committed."
90,3/6/1990,Conservative,conservative,Mr. Heseltine,"it is precisely because it has been so successful, and the deutschmark so powerful, that all of us recognise that either it will make it on its own, dominating the european economic marketplace, or there will be some arrangement within which we conduct a dialogue; in other words, we have access to the top table.  a way in which that could be achieved without loss of national sovereignty would be if an independent team of hankers, operating to the same disciplines as the bundesbank, were established in the national capitals, acting coherently as a council of central bankers.  it would be perfectly possible for any country to opt out of the exchange rate mechanism or not to attend the meeting of the council of central bankers if it wanted to."
