,id,date_short,party,party_2,name,sents,categories,label_number
667,671,7/2/1997,Conservative,Conservative,Mr. Geoffrey Clifton-Brown," if we have a chancellor who can exercise that judgment, it is much better left in the hands of the chancellor and the treasury than in the hands of an independent panel comprising the governor of the bank of england and other experts. on the other hand, if we have a chancellor who is not sure of his judgment, the decision will be handed over to the bank and an independent panel of experts. the chancellor made no mention of the opportunity cost to the british economy that is related to our contributions to the european union.",Pro-independence,1
574,578,10/30/1996,Conservative,Conservative,Mr. Malcolm Bruce,"the costs to our public sector borrowing and to private investors who must pay these premium rates in the united kingdom are high. it is the year when the decisions of early 1988 will be taken on board. it is also the year during which parliament will have to vote on whether to make the bank of england independent in line with the maastricht decisions, with a view to us going into an independent european central bank.",Unrelated,2
83,84,11/28/1989,Conservative,Conservative,Mr. Heath, i believe that it is still possible for the governor of the bank of england to use his influence in the city. she duly got one   for 16 june 1990.    does not the prime minister agree that it would make very good sense for britain now to organise a serious study of the constitutional and economic consequences of economic and monetary union   a study not confined to the governors of the european central banks   and at the same time to ensure that placed at the very top of the european agenda is the future relationship between the european communities and the emerging independent and democratic countries of eastern europe?,Unrelated,2
417,420,12/7/1993,Conservative,Conservative,Mr. David Willetts,"some of the more radical arguments for an independent central bank are not borne out by the evidence.  my second point on the budget concerns a subject that is rather shrouded in esoteric mystery   the announcement in the budget about improved resource accounting in the public sector. i have given way enough, and i have a long speech to make.",Anti-independence,0
481,484,1/28/1994,Conservative,Conservative,Mr. Dorrell,"it is clear that institutional change is seldom a panacea. members: ""hear, hear.""] before my hon. friends become too excited, let me draw an important distinction between the doctrine that institutions must earn legitimacy    which i whole-heartedly espouse   and the doctrine advanced in similar circumstances roughly 12 months ago, which states that independent central banks are in a sense inconsistent with democracy.",Anti-independence,0
195,196,11/7/1991,Conservative,Conservative,Mr. David Howell,"yet those two views are removed and totally undermined by its commitment to european monetary union and the draft dutch treaty, which demands not only that the european central bank be totally independent, but that it includes central bank governors from completely independent banks and lays down all sorts of ferocious penalties for any deviation in budget deficits. such are the wonders of the opposition stance. sheldon) on europe have not always been similar to mine, i was pleased to hear him say that he could not see how it was possible for 12 finance ministers in ecofin   about which we hear a great deal these days   to control a european central bank established on the model set out in the present draft treaty prepared by the dutch government.",Unrelated,2
17,18,6/16/1980,Conservative,Conservative,Mr. Julian Amery," perhaps more important than the tariff and quota and commodity agreements side was that there was a single currency   sterling. that had the great advantage that, as all the central banks of the territories, whether independent, such as australia, or dependent, such as the african territories, banked their reserves with the bank of england, any fluctuations in the terms of trade did not have to be settled overnight with balances built up in favour of the raw material producers when raw material prices were high and run down when the terms of trade went the other way. the result was a spectacular improvement in the conditions both of this country and of the countries with which we were politically associated.",Unrelated,2
878,882,6/29/1998,Conservative,Conservative,Peter Tapsell,"it will have tremendous implications for the duration of the labour government and will, i believe, have very adverse effects on the british people.  the effect of giving the bank of england independent operation on interest rates is   as i have said repeatedly in the house from the moment that it was announced   to separate fiscal and monetary policy.  the fact that the government sacrificed control over monetary discipline   they can no longer determine it   means that the chancellor can pursue a laxer fiscal policy than he otherwise could.",Anti-independence,0
1840,1848,3/1/2016,Conservative,Conservative,George Osborne,"the idea that the us treasury secretary, the head of the international monetary fund and, indeed, the governor of the central bank of china dance to a british tune is, i am afraid, fanciful. governors  of central banks and the finance ministers of the g20 are saying the same thing as every major independent economic institution: that a british exit would cause an immediate economic shock and have longer economic costs. i totally understand why many of the people advocating exit want to do so, but, to be frank, they accept that there would be a short-term and potentially long-term economic cost.",Unrelated,2
879,883,6/29/1998,Conservative,Conservative,Peter Tapsell,"i suppose that he was so keen to give the bank of england independence over interest rates because he knew that, sooner or later, political pressures would force him to increase public expenditure, contrary to the pledges that he gave before the general election   he wanted to be able to blame another body for the increase in interest rates. there have already been six increases in interest rates since the general election, as the motion points out, and there are undoubtedly more to come. davies).",Anti-independence,0
155,156,1/24/1991,Labour,Labour,Mr. Smith,"he told me that the government were against an independent central bank, which is fine, and that
 the monetary authority would be subject to political control, which would have to be negotiated"".    [official report, 23 october 1990; vol.  for those reasons we do not think that the hard ecu adequately tackles what we consider to be a crucial matter.",Anti-independence,0
262,264,9/24/1992,Labour,Labour,Mr. Tony Senn," the real cause of the problem stretches across the house. i myself have long supported it, too, although i do not attribute to it the over-arching significance that the liberal party does. that nostrum is to bring about the independence of the bank of england.",Pro-independence,1
1165,1172,11/11/1999,Labour,Labour,Mr. Smith,"one of the strong advantages of the monetary policy committee is that a combination of voices with different experience makes that important judgment. ultimately, however, we judge the bank of england's operational independence and the monetary policy committee's decisions on what they deliver. what they have delivered is low and stable inflation, which has hit the target that they have been set.",Pro-independence,1
6,7,3/13/1978,Labour Party,Labour,Mr. Davies,"as i see it, the hon. member was suggesting, on the one hand, that we must have a statute, which i think is quite unrealistic, and, on the other hand, that the bank of england should be independent in these matters. i do not see how the hon.",Pro-independence,1
1029,1034,12/1/1998,Labour,Labour,The Chief Secretary to the Treasury (Mr. Stephen Byers),"in this, our second queen's speech, we build on our first programme by pushing forward our modernisation agenda. that is one of the reasons why the sooner we get in and can bring some influence to bear, the better. that does not mean interfering in the decisions of the european central bank, or carrying out the megaphone monetary policy adopted by the newly elected politicians in germany   i suspect that they will learn a thing or two in a fairly short time   but it is about arguing that the british model of central bank independence, which i know does not command total support in the house, has something to commend itself to the continental model.",Pro-independence,1
521,525,3/1/1995,Labour,Labour,Mr. Peter Shore," the macro-economic powers which i have outlined are still available, although sometimes with great difficulty, to the british government. how can we possibly surrender them to european institutions, the most important of which   the central bank   is wholly independent of any influence from national or european governments? that is a major problem that has yet to be resolved.",Unrelated,2
867,871,5/5/1998,Labour,Labour,The Prime Minister,"we take the decisions."" it is important that we run essentially stable and prudent monetary and fiscal policy. that is why we gave the bank of england independence over setting interest rates.",Pro-independence,1
630,634,6/11/1997,Labour,Labour,Ms Diane Abbott," the universal acclaim from pundits, commentators and the rest of the chattering classes with which independence for the bank was greeted reminded me of nothing so much as the universal acclaim that greeted our entry into the exchange rate mechanism some years ago   and we all know what happened to that.  first, we cannot decouple economic management from politics. secondly, the academic arguments for an independent central bank are built on sand, intellectually.",Anti-independence,0
1480,1487,5/26/2005,Labour,Labour,Gordon Brown,"gentleman to his new post, but perhaps he might withdraw the allegation that he made.as for the conservative party's proposal, which it never put into practice when in government, that all public finances be submitted to an independent committee, rather like the monetary policy committee of the bank of england, i do say   this is the argument that the conservatives use in relation to the european union   that the final decisions on public finances, and therefore on taxation, in this country have always historically been made by this house of commons; and the government answer to this house of commons, so i do not believe that an independent committee doing that is the way forward for this country. if the tories do not believe in it for europe, they should not believe in it for britain either. as ireland to the west has shown, however, it is possible to benefit what were once considered to be the political and economic fringes, as long as we are not all stuck with the ""one size fits all"" economic politics of the sterling zone.",Unrelated,2
960,965,11/4/1998,Labour,Labour,Mr. Brown,"the shadow chancellor says that that must all be changed. in other words, his policy is to scrap independence of the bank of england    as the chancellor has made such a mess of it, it cannot be left as it is.",Unrelated,2
328,330,3/24/1993,Labour,Labour,Mr. Mandelson,"but it is not the only goal. it is up to ministers and other politicians to decide among those goals, but it is proper for the central bank to try to pursue that goal of price stability. before i was so rudely interrupted, i was making the case for the european central bank, and i was saying that there is a strong argument for independent operation.",Unrelated,2
1077,1084,3/11/1999,Labour,Labour,Mr. McNulty,"i thank my hon. after all, for 18 years, they played proverbial golf with only one club in their bag. god alone knows how the conservatives would survive in government now that the bank of england is independent.",Unrelated,2
579,583,10/30/1996,Labour,Labour,Ms Diane Abbott,"there is a relationship: as fashionable opinion always says, germany has historically had low inflation since the war and it has an independent central bank, but i always argue   the advisers and the information available to the select committee back me up   that to find the roots of germany's low inflation one has to look at germany's searing experience of hyper-inflation in the 1930s and immediately after the second world war and at a political consensus between management and labour to take inflation seriously. i challenge any of the fashionable pundits to come up with some academic evidence to show that there is a genuine causal relationship between an independent central bank and low inflation.  andrew wood, our specialist assistant to the select committee, said: whilst the relationship between inflation and central bank independence is undisputed, it is generally acknowledged that that relationship may not be causal"".",Anti-independence,0
578,582,10/30/1996,Labour,Labour,Ms Diane Abbott," much of the argument, inasmuch as people argue rather than make assertions in a fashionable way, for an independent bank of england, rests on the notion that there is a causal relationship between an independent bank and low inflation. the treasury committee considered the issues before the hon. we found that the factual evidence for a causal relationship was slender.",Anti-independence,0
1069,1076,3/9/1999,Labour (Co-op),Labour,Mr. Leslie,"would they plug that gap by cutting public services, by adding extra to tax or by returning to increases in the national debt? what would the tories do about bank of england independence? would they scrap the Â£40 billion extra spending on schools and hospitals?",Unrelated,2
1514,1521,7/13/2006,Labour,Labour,Gordon Brown,"i have considered all kinds of proposals that have been put forward for reform of the bank of england monetary policy committee. i echo the sympathy expressed by the chancellor over the sad death of david walton. the independence of the bank of england was called for and welcomed by the liberal democrats, but does the chancellor agree that it is compromised by the direct control that he exercises in appointments?",Pro-independence,1
1369,1376,4/10/2003,Labour,Labour,Andrew Smith,"the reason why there is now greater economic stability, 1.5 million more people in jobs and many more businesses thriving in our country is that we have been building an economy on a sound macro-economic foundation, following tough, firm and clear fiscal rules, assisted by the independence of the bank of england. by contrast, he refused to put firm fiscal rules in place and opposed the independence of the bank of england. i refer the house to the business interests recorded in the register of members' interests.i begin with a complaint about the budget timetable.",Pro-independence,1
881,885,6/30/1998,Labour,Labour,Mr. Geoffrey Robinson,there is no real argument for ending the operational independence of the bank of england and returning its powers to the treasury. the issue before us is the narrow point in new clause 5. that would not be sensible at all.,Pro-independence,1
1548,1555,4/17/2007,Labour,Labour,SiÃ´n Simon,"or, with a slightly different flavour, we could debate the consistent reduction of the dividend subsidy by successive tory chancellors   a gradual phasing out of this market distortion, catastrophically prefiguring its eventual, extremely successful, removal by the labour government in 1997.when the removal of a subsidy becomes a smash-and-grab raid, we really are in the world of doublespeak and upside-down-think. gentleman agree that one key to ensuring that we have more stable inflation and interest rates was the decision to give independence to the bank of england to allow the monetary policy committee, rather than a politician, to decide such things? that was obviously a liberal democrat proposal.",Pro-independence,1
1167,1174,11/17/1999,Labour,Labour,Maria Eagle,"what is his position on the independence of the bank of england? is he in favour of it or not? members: ""hear, hear.""] thank you.",Unrelated,2
407,409,7/6/1993,Labour,Labour,Mr. McAllion,"the snp, for example, supports an independent central bank beyond any kind of political control. two issues will be decided tonight: a minor one and a major one. labour party members and our supporters have not yet understood that what is proposed, which the front-bench spokesmen of my party have accepted, is that it entails the handover of the powers of economic decision-making to unelected bodies in europe.",Unrelated,2
996,1001,11/5/1998,Labour,Labour,Mr. Brown,"it is about time that, instead of making comment after comment   later proven to be untrue or incorrect   the shadow chancellor woke up to the fact that there is a global downturn and that the government are dealing with it by steering a course of stability. it is also about time that the shadow chancellor gave us a straight answer on the first issue of economic policy   whether his monetary policy is that the bank of england remains independent. until we get a straight answer on his support or otherwise for bank independence, he will have absolutely no credibility.",Unrelated,2
615,619,5/20/1997,Labour,Labour,Mr. Brown,"the opposition's position on the matter is not clear, but they should look at the figures and make a reasoned judgment when they receive in the house of commons the bill to give operational independence to the bank of england.  before the end of today's debate, which will take place after the statement, the shadow chancellor should answer this question: would he repeal a bank of england reform act that gave operational independence to the bank of england? if he cannot say he would, all his complaints are simply synthetic.",Unrelated,2
682,686,7/15/1997,Labour (Co-op),Labour,Mr. Davies," the shadow financial secretary and i were with the chairman of ford today, and he was saying that he wants stability. friend the member for pontefract and castleford has alluded to some of the measures that have been taken, such as the steps to ensure the operational independence of the bank of england.  in assessing claims of the losses that pension funds will suffer, we must give some attention to how pension funds are valued, which is on a discounted cash flow basis.",Unrelated,2
944,949,11/3/1998,Labour,Labour,Mr. Brown,"it is by tackling that problem head on   the independence of the bank of england helps that   and by creating a credible framework for action that we can begin to address the long-standing problem of stop-go.  as regards individual instances in innovation, investment, training and skills shortages, we are doing what we can, working with manufacturing industry, to deal with some of the problems it faces.  we also know   the bank of england had been saying it for the previous six months   that the previous chancellor had failed to raise interest rates when it was necessary to do so to deal with inflation.",Pro-independence,1
549,553,5/1/1996,Labour,Labour,Ms Diane Abbott," in that context, i remind the house of evidence given to the committee by sir douglas wass, who, as some hon. members will know, is a former permanent secretary to the treasury. on the question of a european central bank that is independent of politicians, he said:
 it is not the job of central bankers to judge how far it is right to go in damaging the standard of living of some members of the community, or destroying the jobs of others, in order to bring inflation on to some particular path.",Unrelated,2
787,791,1/22/1998,Labour,Labour,Mr. Charles Clarke,"i take that point, but, if we are concerned with the independence of the central bank from those party political ball games and the uncertainties surrounding a hung parliament, it would be better and more effective to use the open hearing process; in addition, there would be no risk of the prime minister or chancellor appointing cronies with no chance for public scrutiny. therefore, the second argument does not stand up.  there is a second, more pragmatic and, indeed, monetary reason why it would be sensible for the government to accept new clause 1   but the government do not often do very sensible things, so i do not expect that they will do this now.",Unrelated,2
362,364,3/24/1993,Labour,Labour,Mr. Betts,"to some extent, it would be independent of the rest of the european community.  i do not believe that if every other country in the european community is a member of the central bank, which will have the power of all the other governments and economies behind it, one country can realistically stand aside and believe that it will be feasible for its central bank to operate independently while that country remained a member of the community. the government cannot ask any hon.",Unrelated,2
636,640,6/11/1997,Labour,Labour,Ms Abbott,"i draw the house's attention to the studies of adam posen, an economist from the new york federal reserve, who said that central bank independence was a consequence of pressure from the financial sector. he said:
 central bank independence arises from the desires of an interest group   
 the financial sector   
 that is more committed to price stability than the average voter.  michael jenkins of hull university said in his research on the subject that, if one factors out other structural factors tending to low inflation   for instance, the corporatist wage bargaining of west germany   there is no statistically significant relationship between higher central bank independence and low inflation.",Anti-independence,0
356,358,3/24/1993,Labour,Labour,Mr. Davies,"the financial secretary shakes his head, but that is a perfectly reasonable interpretation of what may not be an easy article. i suggest that, within the context of both the emi and the central bank, and the thrust of the independence of those institutions, the european court might he more likely to accept my interpretation than that of the financial secretary. i concede that, even if i had been privy to the advice of my former tutor, i think that i would have had some difficulty in interpreting the article on my own.",Unrelated,2
1698,1705,11/29/2010,Labour,Labour,Alison McGovern,"it is important to recognise that. it will be able to challenge the prevailing consensus, and to ensure that potential risks are identified, monitored and addressed rather than being ignored, as they were under the last regime.the new architecture will also ensure that macro-prudential regulation of the financial system is co-ordinated effectively with the prudential regulation of individual firms, and that a new, more judgment-focused approach to regulation of firms is adopted so that business models can be challenged, risks can be identified, and action can be taken to preserve stability. that will be the responsibility of the new prudential regulation authority, which will be an independent subsidiary of the bank of england.however, it is not just a question of prudential stability.",Unrelated,2
548,552,5/1/1996,Labour,Labour,Ms Diane Abbott," moving away from the facts and figures, the chattering classes and the people who claim to know about economics reiterate constantly the idea that monetary policy is so important that it should be taken away from politicians. they claim that the temptation for politicians to debase the currency should be removed. the argument for central bank independence and for a european central bank has found some favour with those not just on the government benches but on my own side.",Anti-independence,0
869,873,5/5/1998,Labour,Labour,The Prime Minister,"i make no apology for the politicians having decided this. the politicians should have decided it   and we did. does the prime minister detect any logic and coherence in a political position that, first, opposes operational independence for the bank of england, secondly, criticises the appointment procedure for the president of the european central bank on the ground that it will undermine operational independence and, thirdly, opposes the general principle of a single currency because politicians will not have day-to-day control?",Unrelated,2
